Sr. No,Primary Odor,Sub-odor,CAS-Id,Chemical name,SMILES
18090,Fruity,Berry,68555-63-5,Maltol propionate,CCC(=O)OC1=C(OC=CC1=O)C
18091,Fruity,Berry,7549-41-9,Bornyl valerate,
18092,Fruity,Berry,71078-31-4,"2,6,9,10-Tetramethyl-1-oxaspiro[4.5]deca-3,6-diene",CC1CC=C(C2(C1C)C=CC(O2)C)C
18093,Fruity,Berry,28787-36-2,2-Methyl-4-oxo-4H-pyran-3-yl acetate,CC1=C(C(=O)C=CO1)OC(=O)C
18094,Fruity,Berry,57934-97-1,"Ethyl 2,3,6,6-tetramethylcyclohex-2-ene-1-carboxylate",CCOC(=O)C1C(=C(CCC1(C)C)C)C
18095,Fruity,Berry,68165-40-2,"2,4,6-Triisobutyl-1,3,5-trioxane",CC(C)CC1OC(OC(O1)CC(C)C)CC(C)C
18096,Fruity,Berry,2623-23-6,L-Menthyl acetate,C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)C)C(C)C
18097,Fruity,Berry,106-02-5,Oxacyclohexadecan-2-one,C1CCCCCCCOC(=O)CCCCCC1
18098,Fruity,Berry,3249-68-1,Ethyl 3-oxohexanoate,CCCC(=O)CC(=O)OCC
18099,Fruity,Berry,106-68-3,3-Octanone,CCCCCC(=O)CC
18100,Fruity,Berry,620-79-1,Ethyl 2-benzylacetoacetate,CCOC(=O)C(CC1=CC=CC=C1)C(=O)C
18101,Fruity,Berry,7774-44-9,Cyclohexyl isovalerate,CC(C)CC(=O)OC1CCCCC1
18102,Fruity,Berry,2305-25-1,Ethyl (S)-3-hydroxyhexanoate,CCC[C@@H](CC(=O)OCC)O
18103,Fruity,Berry,17283-81-7,Dihydro-beta-ionone,CC1=C(C(CCC1)(C)C)CCC(=O)C
18104,Fruity,Berry,2177-77-7,Methyl 2-methylpentanoate,CCCC(C)C(=O)OC
18105,Fruity,Berry,54411-06-2,2-Butyl-5-ethylthiophene,CCCCC1=CC=C(S1)CC
18106,Fruity,Berry,67233-91-4,Ethyl 9-decenoate,CCOC(=O)CCCCCCCC=C
18107,Fruity,Berry,84642-61-5,1-Methyl-2-oxopropyl butyrate,CCCC(=O)OC(C)C(=O)C
18108,Fruity,Berry,106-24-1,Geraniol,CC(=CCC/C(=C/CO)/C)C
18109,Fruity,Berry,103-36-6,Ethyl cinnamate,CCOC(=O)/C=C/C1=CC=CC=C1
18110,Fruity,Berry,79-77-6,beta-Ionone,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C
18111,Fruity,Berry,52019-78-0,(S)-(+)-2-Hexanol,CCCC[C@H](C)O
18112,Fruity,Berry,623-20-1,Ethyl 3-(2-furyl)acrylate,CCOC(=O)/C=C/C1=CC=CO1
18113,Fruity,Berry,18486-69-6,(-)-Myrtenal,CC1([C@H]2CC=C([C@@H]1C2)C=O)C
18114,Fruity,Berry,122-69-0,Cinnamyl cinnamate,C1=CC=C(C=C1)/C=C/COC(=O)/C=C/C2=CC=CC=C2
18115,Fruity,Berry,141-10-6,Pseudoionone,CC(=CCC/C(=C/C=C/C(=O)C)/C)C
18116,Fruity,Berry,72429-08-4,"3,4,4a,5,8,8a(Or 3,4,4a,7,8,8a)-hexahydro-3,3,6,7-tetramethyl-1H-2-
benzopyran",
18117,Fruity,Berry,65416-14-0,Maltyl isobutyrate,CC1=C(C(=O)C=CO1)OC(=O)C(C)C
18118,Fruity,Berry,7779-50-2,(7E)-1-Oxacycloheptadec-7-en-2-one,C1CCCCC=CCCCCC(=O)OCCCC1
18119,Fruity,Berry,7780-06--5,Isopropyl cinnamate,CC(C)OC(=O)/C=C/C1=CC=CC=C1
18120,Fruity,Berry,7779-65-9,Isopentyl cinnamate,CC(C)CCOC(=O)/C=C/C1=CC=CC=C1
18121,Fruity,Berry,5837-78-5,Ethyl tiglate,CCOC(=O)/C(=C/C)/C
18122,Fruity,Berry,127-41-3,alpha-Ionone,CC1=CCCC(C1/C=C/C(=O)C)(C)C
18123,Fruity,Berry,14309-57-0,3-Nonen-2-one,CCCCC/C=C/C(=O)C
18124,Fruity,Berry,23267-57-4,beta-Ionone epoxide,CC(=O)/C=C/C12C(CCCC1(O2)C)(C)C
18125,Fruity,Berry,53398-86-0,(E)-2-Hexenyl hexanoate,CCCCCC(=O)OC/C=C/CCC
18126,Fruity,Berry,74367-97-8,Ethyl methyl-p-tolylglycidate,CCOC(=O)C1C(O1)(C)C2=CC=C(C=C2)C
18127,Fruity,Berry,84642-60-4,(E)-Oct-2-enyl butyrate,CCCCC/C=C/COC(=O)CCC
18128,Fruity,Berry,35158-25-9,2-Isopropyl-5-methyl-2-hexenal,CC(C)C/C=C(/C=O)\C(C)C
18129,Fruity,Berry,109-20-6,Geranyl isovalerate,
18130,Fruity,Berry,5166-53-0,5-Methyl-3-hexen-2-one,CC(C)/C=C/C(=O)C
18131,Fruity,Berry,18402-82-9,3-Octen-2-one,CCCC/C=C/C(=O)C
18132,Fruity,Berry,27039-84-5,5-Nonen-2-one,CCCC=CCCC(=O)C
18133,Fruity,Berry,25312-34-9,alpha-Ionol,CC1=CCCC(C1/C=C/C(C)O)(C)C
18134,Fruity,Berry,7493-71-2,Allyl tiglate,C/C=C(\C)/C(=O)OCC=C
18135,Fruity,Berry,53398-85-9,cis-3-Hexenyl 2-methylbutanoate,CC/C=C\CCOC(=O)C(C)CC
18136,Fruity,Berry,7779-50-2,Ambrettolide,C1CCCCOC(=O)CCCCC/C=C\CCC1
18137,Fruity,Berry,105-91-9,Neryl propionate,CCC(=O)OC/C=C(/C)\CCC=C(C)C
18138,Fruity,Berry,2345-24-6,Neryl isobutyrate,CC(C)C(=O)OC/C=C(/C)\CCC=C(C)C
18139,Fruity,Berry,4798-61-2,2-Octen-4-ol,CCCCC(/C=C/C)O
18140,Fruity,Berry,53398-87-1,cis-3-Hexenyl trans-2-hexenoate,CCC/C=C/C(=O)OCC/C=C\CC
18141,Fruity,Berry,1901-26-4,3-Methyl-4-phenyl-3-buten-2-one,C/C(=C\C1=CC=CC=C1)/C(=O)C
18142,Fruity,Berry,79-69-6,alpha-Irone,CC1CC=C(C(C1(C)C)/C=C/C(=O)C)C
18143,Fruity,Berry,22029-76-1,beta-Ionol,CC1=C(C(CCC1)(C)C)/C=C/C(C)O
18144,Fruity,Berry,23726-91-2,beta-Damascone,CC=CC(=O)C1=C(CCCC1(C)C)C
18145,Fruity,Berry,79-70-9,beta-Irone,CC1CCC(=C(C1(C)C)/C=C/C(=O)C)C
18146,Fruity,Berry,7492-37-7,3-Benzyl-4-heptanone,CCCC(=O)C(CC)CC1=CC=CC=C1
18147,Fruity,Berry,7779-50-2,Oxacycloheptadec-7-en-2-one,C1CCCCC=CCCCCC(=O)OCCCC1
18148,Fruity,Berry,84697-09-6,2-((4-Methylphenyl)methylene)heptan-1-al,CCCCC/C(=C\C1=CC=C(C=C1)C)/C=O
18149,Fruity,Berry,3915-83-1,Neryl isovalerate,CC(C)CC(=O)OC/C=C(/C)\CCC=C(C)C
18150,Fruity,Berry,37674-63-8,2-Methyl-3-pentenoic acid,C/C=C/C(C)C(=O)O
18151,Fruity,Berry,39067-80-6,"(Z)-3,7-Dimethylocta-2,6-diene-1-thiol",CC(=CCC/C(=C\CS)/C)C
18152,Fruity,Berry,1617-40-9,"2-Pentenoic acid, 2-methyl-, ethyl ester",CC/C=C(\C)/C(=O)OCC
18153,Fruity,Berry,93840-90-5,"1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)pent-1-en-3-ol",CCC(/C=C/C1=C(CCCC1(C)C)C)O
18154,Fruity,Berry,68555-94-2,"1-Penten-3-one, 2-methyl-1-(2,2,6-trimethylcyclohexenyl)-",
18155,Fruity,Berry,93939-86-7,Einecs 300-376-9,C/C=C\1/CC2CC1C3C2OCCC3
18156,Fruity,Berry,24323-38-4,Ethyl 2-hydroxy-3-methylpentanoate,CCC(C)C(C(=O)OCC)O
18157,Fruity,Berry,75832-79-0,4-Methyl-3-sulfanylpentan-2-one,CC(C)C(C(=O)C)S
18158,Fruity,Berry,36789-59-0,Campholene acetate,CC1=CC[C@H](C1(C)C)CCOC(=O)C
18159,Fruity,Berry,236391-76-7,"Acetic acid, 2-(1-oxopropoxy)-, 1-(3,3-dimethylcyclohexyl)ethyl ester",CCC(=O)OCC(=O)OC(C)C1CCCC(C1)(C)C
18160,Fruity,Berry,79893-63-3,"6-Ethyl-2,10,10-trimethyl-1-oxaspiro[4.5]deca-3,6-diene",CCC1=CCCC(C12C=CC(O2)C)(C)C
18161,Fruity,Berry,1323-00-8,"5-(2,3-Dimethyl-3-tricyclo[2.2.1.02,6]heptanyl)-2-methylpent-2-enyl] acetate;[2-methyl-5-(2-methyl-3-methylidene-2-
bicyclo[2.2.1]heptanyl)pent-2-enyl] acetate",
18162,Fruity,Berry,1217714-24-3,"7-Methylhexahydro-2H-benzo[b][1,4]dioxepin-3(4H)-one",
18163,Fruity,Berry,19464-94-9,Ethyl alpha-ethyl-beta-methyl-beta-phenylglycidate,CC[C@@]1([C@](O1)(C)C2=CC=CC=C2)C(=O)OCC
18164,Fruity,Blackberry,828-26-2,"2,2,4,4,6,6-Hexamethyl-1,3,5-trithiane",CC1(SC(SC(S1)(C)C)(C)C)C
18165,Fruity,Blackberry,10348-47-7,Ethyl 2-hydroxy-4-methylvalerate,CCOC(=O)C(CC(C)C)O
18166,Fruity,Blackberry,97890-13-6,2-Methylbutyl 3-methyl-2-butenoate,CCC(C)COC(=O)C=C(C)C
18167,Fruity,Blackberry,136954-20-6,3-Mercaptohexyl acetate,CCCC(CCOC(=O)C)S
18168,Fruity,Blackberry,10321-71-8,4-Methyl-2-pentenoic acid,CC(C)/C=C/C(=O)O
18169,Fruity,Blackberry,60856-83-9,"Ethyl 2-hydroxy-4-methylvalerate, (2R)-",CCOC(=O)[C@@H](CC(C)C)O
18170,Fruity,Blackberry,60856-85-1,(S)-(-)-Ethyl Leucate,CCOC(=O)[C@H](CC(C)C)O
18171,Fruity,Blackcurrant,43052-87-5,"2-Buten-1-one, 1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, (2E)-",CC=CC(=O)C1C(=CCCC1(C)C)C
18172,Fruity,Blackcurrant,67715-80-4,"2-Methyl-4-propyl-1,3-oxathiane",CCCC1CCOC(S1)C
18173,Fruity,Blackcurrant,851768-52-0,4-Mercapto-4-methyl-2-hexanone,CCC(C)(CC(=O)C)S
18174,Fruity,Blueberry,78-70-6,Linalool,CC(=CCCC(C)(C=C)O)C
18175,Fruity,Blueberry,108-64-5,Ethyl isovalerate,CCOC(=O)CC(C)C
18176,Fruity,Blueberry,140-26-1,Phenethyl isovalerate,CC(C)CC(=O)OCCC1=CC=CC=C1
18177,Fruity,Blueberry,151-19-9,"3,6-Dimethyl-3-octanol",CCC(C)CCC(C)(CC)O
18178,Fruity,Blueberry,557-00-6,Propyl isovalerate,CCCOC(=O)CC(C)C
18179,Fruity,Blueberry,3572-06--3,4-(3-Oxobutyl)phenyl acetate,CC(=O)CCC1=CC=C(C=C1)OC(=O)C
18180,Fruity,Blueberry,78-36-4,Linalyl butyrate,CCCC(=O)OC(C)(CCC=C(C)C)C=C
18181,Fruity,Blueberry,18479-51-1,"3,7-Dimethyloct-6-en-3-ol",CCC(C)(CCC=C(C)C)O
18182,Fruity,Blueberry,1888-80-8,Ethoxybornane,CCOC1CC2CCC1(C2(C)C)C
18183,Fruity,Blueberry,1608-72-6,1-Ethoxyethyl acetate,CCOC(C)OC(=O)C
18184,Fruity,Blueberry,67662-96-8,2-Phenylethyl pivalate,CC(C)(C)C(=O)OCCC1=CC=CC=C1
18185,Fruity,Blueberry,76649-23-5,Prenyl isobutyrate,CC(C)C(=O)OCC=C(C)C
18186,Fruity,Blueberry,27625-35-0,3-Methylbutyl 2-methylbutanoate,CCC(C)C(=O)OCCC(C)C
18187,Fruity,Blueberry,97158-38-8,Cyclohexylpropyl propionate,CCC(=O)OCCCC1CCCCC1
18188,Fruity,Blueberry,69121-78-4,Cinnamyl isovalerate,CC(C)CC(=O)OC/C=C/C1=CC=CC=C1
18189,Fruity,Blueberry,35158-25-9,2-Isopropyl-5-methyl-2-hexenal,CC(C)C/C=C(/C=O)\C(C)C
18190,Fruity,Blueberry,109-20-6,Geranyl isovalerate,CC(C)CC(=O)OC/C=C(\C)/CCC=C(C)C
18191,Fruity,Blueberry,18402-82-9,3-Octen-2-one,
18192,Fruity,Blueberry,3915-83-1,Neryl isovalerate,CC(C)CC(=O)OC/C=C(/C)\CCC=C(C)C
18193,Fruity,Cantaloupe,106-72-9,"2,6-Dimethyl-5-heptenal",
18194,Fruity,Cantaloupe,2277-19-2,cis-6-Nonenal,CC/C=C\CCCCC=O
18195,Fruity,Cantaloupe,35854-86-5,(Z)-Non-6-en-1-ol,CC/C=C\CCCCCO
18196,Fruity,Cantaloupe,76238-22-7,cis-6-Nonenyl Acetate,CC/C=C\CCCCCOC(=O)C
18197,Fruity,Cantaloupe,85508-08-3,Hexyl 2-methyl-3-pentenoate,CCCCCCOC(=O)C(C)/C=C/C
18198,Fruity,Cantaloupe,94134-03-9,cis-3-Octenyl propionate,CCCC/C=C\CCOC(=O)CC
18199,Fruity,Cherry,100-52-7,Benzaldehyde,C1=CC=C(C=C1)C=O
18200,Fruity,Cherry,100-51-6,Benzyl alcohol,C1=CC=C(C=C1)CO
18201,Fruity,Cherry,122-78-1,Phenylacetaldehyde,C1=CC=C(C=C1)CC=O
18202,Fruity,Cherry,120-51-4,Benzyl benzoate,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
18203,Fruity,Cherry,93-55-0,Propiophenone,CCC(=O)C1=CC=CC=C1
18204,Fruity,Cherry,93-58-3,Methyl benzoate,COC(=O)C1=CC=CC=C1
18205,Fruity,Cherry,93-89-0,Ethyl benzoate,CCOC(=O)C1=CC=CC=C1
18206,Fruity,Cherry,94-02-0,Ethyl benzoylacetate,CCOC(=O)CC(=O)C1=CC=CC=C1
18207,Fruity,Cherry,98-86-2,Acetophenone,CC(=O)C1=CC=CC=C1
18208,Fruity,Cherry,100-06-1,4'-Methoxyacetophenone,CC(=O)C1=CC=C(C=C1)OC
18209,Fruity,Cherry,101-97-3,Ethyl phenylacetate,CCOC(=O)CC1=CC=CC=C1
18210,Fruity,Cherry,102-04-5,"1,3-Diphenylacetone",C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2
18211,Fruity,Cherry,103-50-4,Dibenzyl ether,C1=CC=C(C=C1)COCC2=CC=CC=C2
18212,Fruity,Cherry,104-21-2,4-Methoxybenzyl acetate,CC(=O)OCC1=CC=C(C=C1)OC
18213,Fruity,Cherry,104-53-0,3-Phenylpropanal,C1=CC=C(C=C1)CCC=O
18214,Fruity,Cherry,104-57-4,Benzyl formate,C1=CC=C(C=C1)COC=O
18215,Fruity,Cherry,104-87-0,4-Methylbenzaldehyde,CC1=CC=C(C=C1)C=O
18216,Fruity,Cherry,105-13-5,4-Methoxybenzyl alcohol,COC1=CC=C(C=C1)CO
18217,Fruity,Cherry,106-23-0,Citronellal,CC(CCC=C(C)C)CC=O
18218,Fruity,Cherry,107-02-8,Acrolein,C=CC=O
18219,Fruity,Cherry,109-21-7,Butyl butyrate,CCCCOC(=O)CCC
18220,Fruity,Cherry,110-27-0,Isopropyl myristate,CCCCCCCCCCCCCC(=O)OC(C)C
18221,Fruity,Cherry,120-14-9,Veratraldehyde,COC1=C(C=C(C=C1)C=O)OC
18222,Fruity,Cherry,120-57-0,Piperonal,C1OC2=C(O1)C=C(C=C2)C=O
18223,Fruity,Cherry,122-00-9,4'-Methylacetophenone,CC1=CC=C(C=C1)C(=O)C
18224,Fruity,Cherry,140-11-4,Benzyl acetate,CC(=O)OCC1=CC=CC=C1
18225,Fruity,Cherry,142-92-7,Hexyl acetate,CCCCCCOC(=O)C
18226,Fruity,Cherry,326-61-4,Piperonyl acetate,
18227,Fruity,Cherry,495-40-9,Butyrophenone,CCCC(=O)C1=CC=CC=C1
18228,Fruity,Cherry,529-20-4,2-Methylbenzaldehyde,CC1=CC=CC=C1C=O
18229,Fruity,Cherry,539-90-2,Isobutyl butyrate,CCCC(=O)OCC(C)C
18230,Fruity,Cherry,540-18-1,Pentyl butyrate,CCCCCOC(=O)CCC
18231,Fruity,Cherry,577-16-2,2'-Methylacetophenone,CC1=CC=CC=C1C(=O)C
18232,Fruity,Cherry,583-04-0,Allyl benzoate,C=CCOC(=O)C1=CC=CC=C1
18233,Fruity,Cherry,590-01-2,Butyl propionate,CCCCOC(=O)CC
18234,Fruity,Cherry,620-23-5,3-Methylbenzaldehyde,
18235,Fruity,Cherry,1072-83-9,2-Acetylpyrrole,CC(=O)C1=CC=CN1
18236,Fruity,Cherry,1193-18-6,3-Methyl-2-cyclohexen-1-one,CC1=CC(=O)CCC1
18237,Fruity,Cherry,1197-01-9,2-(4-Methylphenyl)propan-2-ol,CC1=CC=C(C=C1)C(C)(C)O
18238,Fruity,Cherry,2835-39-4,Allyl isovalerate,CC(C)CC(=O)OCC=C
18239,Fruity,Cherry,4351-54-6,Cyclohexyl formate,C1CCC(CC1)OC=O
18240,Fruity,Cherry,4748-78-1,4-Ethylbenzaldehyde,CCC1=CC=C(C=C1)C=O
18241,Fruity,Cherry,10031-82-0,4-Ethoxybenzaldehyde,CCOC1=CC=C(C=C1)C=O
18242,Fruity,Cherry,94-30-4,Ethyl 4-methoxybenzoate,CCOC(=O)C1=CC=C(C=C1)OC
18243,Fruity,Cherry,104-20-1,4-(4-Methoxyphenyl)-2-butanone,CC(=O)CCC1=CC=C(C=C1)OC
18244,Fruity,Cherry,104-27-8,"1-Penten-3-one, 1-(4-methoxyphenyl)-, (1E)-",CCC(=O)/C=C/C1=CC=C(C=C1)OC
18245,Fruity,Cherry,107-86-8,3-Methyl-2-butenal,CC(=CC=O)C
18246,Fruity,Cherry,120-50-3,Isobutyl benzoate,CC(C)COC(=O)C1=CC=CC=C1
18247,Fruity,Cherry,698-27-1,2-Hydroxy-4-methylbenzaldehyde,CC1=CC(=C(C=C1)C=O)O
18248,Fruity,Cherry,2349-13-5,Heptyl isobutyrate,CCCCCCCOC(=O)C(C)C
18249,Fruity,Cherry,7493-69-8,Allyl 2-ethylbutyrate,CCC(CC)C(=O)OCC=C
18250,Fruity,Cherry,7549-33-9,Anisyl propionate,CCC(=O)OCC1=CC=C(C=C1)OC
18251,Fruity,Cherry,13679-70-4,5-Methyl-2-thiophenecarboxaldehyde,CC1=CC=C(S1)C=O
18252,Fruity,Cherry,15764-16-6,"2,4-Dimethylbenzaldehyde",CC1=CC(=C(C=C1)C=O)C
18253,Fruity,Cherry,50626-02-3,2-Phenyl-3-carbethoxyfuran,CCOC(=O)C1=C(OC=C1)C2=CC=CC=C2
18254,Fruity,Cherry,2445-77-4,2-Methylbutyl isovalerate,CCC(C)COC(=O)CC(C)C
18255,Fruity,Cherry,582-24-1,2-Hydroxyacetophenone,C1=CC=C(C=C1)C(=O)CO
18256,Fruity,Cherry,22717-57-3,Methyl 5-methylsalicylate,CC1=CC(=C(C=C1)O)C(=O)OC
18257,Fruity,Cherry,58244-29-4,"1,3-Dioxolane, 4-methyl-2-(4-methylphenyl)-",CC1COC(O1)C2=CC=C(C=C2)C
18258,Fruity,Cherry,37837-44-8,Methyl 2-[(phenylmethylene)amino]benzoate,COC(=O)C1=CC=CC=C1N=CC2=CC=CC=C2
18259,Fruity,Cherry,79915-74-5,2-Isopropoxyethyl salicylate,CC(C)OCCOC(=O)C1=CC=CC=C1O
18260,Fruity,Cherry,36880-33-8,5-Ethylthiophene-2-carbaldehyde,CCC1=CC=C(S1)C=O
18261,Fruity,Cherry,37526-88-8,Benzyl tiglate,C/C=C(\C)/C(=O)OCC1=CC=CC=C1
18262,Fruity,Cherry,27625-35-0,3-Methylbutyl 2-methylbutanoate,CCC(C)C(=O)OCCC(C)C
18263,Fruity,Cherry,20665-85-4,Vanillin isobutyrate,CC(C)C(=O)OC1=C(C=C(C=C1)C=O)OC
18264,Fruity,Cherry,1754-62-7,Methyl cinnamate,COC(=O)/C=C/C1=CC=CC=C1
18265,Fruity,Cherry,122-57-6,Benzylideneacetone,CC(=O)/C=C/C1=CC=CC=C1
18266,Fruity,Cherry,24680-50-0,4-Methoxycinnamaldehyde,COC1=CC=C(C=C1)/C=C/C=O
18267,Fruity,Cherry,18031-40-8,(-)-Perillaldehyde,CC(=C)[C@H]1CCC(=CC1)C=O
18268,Fruity,Cherry,67028-40-4,Ethyl (4-methylphenoxy)acetate,CCOC(=O)COC1=CC=C(C=C1)C
18269,Fruity,Cherry,103-41-3,Cinnamein,C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=CC=C2
18270,Fruity,Cherry,127-41-3,alpha-Ionone,CC1=CCCC(C1/C=C/C(=O)C)(C)C
18271,Fruity,Cherry,623-18-7,Methyl furfuracrylate,COC(=O)/C=C/C1=CC=CO1
18272,Fruity,Cherry,78761-38-3,Cinnamyl propionate,CCC(=O)OC/C=C/C1=CC=CC=C1
18273,Fruity,Cherry,69121-78-4,Cinnamyl isovalerate,CC(C)CC(=O)OC/C=C/C1=CC=CC=C1
18274,Fruity,Cherry,7779-17-1,Cyclohexyl cinnamate,C1CCC(CC1)OC(=O)/C=C/C2=CC=CC=C2
18275,Fruity,Cherry,74367-97-8,Ethyl methyl-p-tolylglycidate,CCOC(=O)C1C(O1)(C)C2=CC=C(C=C2)C
18276,Fruity,Cherry,1576-95-0,cis-2-Penten-1-ol,CC/C=C\CO
18277,Fruity,Cherry,1319-88-6,Benzal glycerin,C1=CC=C(C=C1)/C=C(/C(CO)O)\O
18278,Fruity,Cherry,1617-23-8,Ethyl (E)-2-methylpent-3-enoate,CCOC(=O)C(C)/C=C/C
18279,Fruity,Cherry,13341-72-5,"4,7-Dimethyl-3,4,4a,5,6,7,8,8a-octahydroisochromen-1-one",
18280,Fruity,Citrus,100-51-6,Benzyl alcohol,C1=CC=C(C=C1)CO
18281,Fruity,Citrus,124-13-0,Octanal,CCCCCCCC=O
18282,Fruity,Citrus,111-87-5,1-Octanol,CCCCCCCCO
18283,Fruity,Citrus,334-48-5,Decanoic acid,CCCCCCCCCC(=O)O
18284,Fruity,Citrus,125-12-2,Bornyl acetate,CC(=O)OC1CC2CCC1(C2(C)C)C
18285,Fruity,Citrus,78-35-3,Linalyl isobutyrate,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C
18286,Fruity,Citrus,78-59-1,Isophorone,CC1=CC(=O)CC(C1)(C)C
18287,Fruity,Citrus,78-69-3,"3,7-Dimethyloctan-3-ol",CCC(C)(CCCC(C)C)O
18288,Fruity,Citrus,78-70-6,Linalool,CC(=CCCC(C)(C=C)O)C
18289,Fruity,Citrus,79-92-5,Camphene,CC1(C2CCC(C2)C1=C)C
18290,Fruity,Citrus,58985-18-5,p-Menthan-8-yl acetate,CC1CCC(CC1)C(C)(C)OC(=O)C
18291,Fruity,Citrus,93-18-5,2-Ethoxynaphthalene,CCOC1=CC2=CC=CC=C2C=C1
18292,Fruity,Citrus,97-62-1,Ethyl isobutyrate,CCOC(=O)C(C)C
18293,Fruity,Citrus,97-87-0,Butyl isobutyrate,CCCCOC(=O)C(C)C
18294,Fruity,Citrus,99-83-2,alpha-Phellandrene,CC1=CCC(C=C1)C(C)C
18295,Fruity,Citrus,99-85-4,gamma-Terpinene,CC1=CCC(=CC1)C(C)C
18296,Fruity,Citrus,99-86-5,alpha-Terpinene,CC1=CC=C(CC1)C(C)C
18297,Fruity,Citrus,99-87-6,P-Cymene,CC1=CC=C(C=C1)C(C)C
18298,Fruity,Citrus,103-45-7,Phenethyl acetate,CC(=O)OCCC1=CC=CC=C1
18299,Fruity,Citrus,104-76-7,2-Ethylhexan-1-ol,CCCCC(CC)CO
18300,Fruity,Citrus,105-45-3,Methyl acetoacetate,CC(=O)CC(=O)OC
18301,Fruity,Citrus,105-85-1,Citronellyl formate,CC(CCC=C(C)C)CCOC=O
18302,Fruity,Citrus,106-21-8,"3,7-Dimethyloctan-1-o",
18303,Fruity,Citrus,106-23-0,Citronellal,CC(CCC=C(C)C)CC=O
18304,Fruity,Citrus,107-75-5,Hydroxycitronellal,CC(CCCC(C)(C)O)CC=O
18305,Fruity,Citrus,111-11-5,Methyl octanoate,CCCCCCCC(=O)OC
18306,Fruity,Citrus,111-70-6,1-Heptanol,CCCCCCCO
18307,Fruity,Citrus,111-71-7,Heptanal,CCCCCCC=O
18308,Fruity,Citrus,111-81-9,Methyl 10-undecenoate,COC(=O)CCCCCCCCC=C
18309,Fruity,Citrus,112-06-1,Heptyl acetate,CCCCCCCOC(=O)C
18310,Fruity,Citrus,112-12-9,2-Undecanone,CCCCCCCCCC(=O)C
18311,Fruity,Citrus,112-17-4,Decyl acetate,CCCCCCCCCCOC(=O)C
18312,Fruity,Citrus,112-31-2,Decanal,CCCCCCCCCC=O
18313,Fruity,Citrus,112-42-5,1-Undecanol,CCCCCCCCCCCO
18314,Fruity,Citrus,112-43-6,10-Undecen-1-OL,C=CCCCCCCCCCO
18315,Fruity,Citrus,112-44-7,Undecanal,CCCCCCCCCCC=O
18316,Fruity,Citrus,112-45-8,10-Undecenal,C=CCCCCCCCCC=O
18317,Fruity,Citrus,112-53-8,1-Dodecanol,CCCCCCCCCCCCO
18318,Fruity,Citrus,112-54-9,Dodecanal,CCCCCCCCCCCC=O
18319,Fruity,Citrus,112-66-3,Dodecyl acetate,CCCCCCCCCCCCOC(=O)C
18320,Fruity,Citrus,115-95-7,Linalyl acetate,CC(=CCCC(C)(C=C)OC(=O)C)C
18321,Fruity,Citrus,120-14-9,Veratraldehyde,COC1=C(C=C(C=C1)C=O)OC
18322,Fruity,Citrus,120-45-6,1-Phenylethyl propionate,CCC(=O)OC(C)C1=CC=CC=C1
18323,Fruity,Citrus,134-20-3,Methyl anthranilate,COC(=O)C1=CC=CC=C1N
18324,Fruity,Citrus,141-11-7,Rhodinyl acetate,CC(CCCC(=C)C)CCOC(=O)C
18325,Fruity,Citrus,141-14-0,Citronellyl propionate,CCC(=O)OCCC(C)CCC=C(C)C
18326,Fruity,Citrus,141-16-2,Citronellyl butyrate,CCCC(=O)OCCC(C)CCC=C(C)C
18327,Fruity,Citrus,106-22-9,Citronellol,CC(CCC=C(C)C)CCO
18328,Fruity,Citrus,143-08-8,1-Nonanol,CCCCCCCCCO
18329,Fruity,Citrus,150-84-5,Citronellyl acetate,CC(CCC=C(C)C)CCOC(=O)C
18330,Fruity,Citrus,110-93-0,6-Methyl-5-hepten-2-one,CC(=CCCC(=O)C)C
18331,Fruity,Citrus,498-81-7,p-MENTHAN-8-OL,CC1CCC(CC1)C(C)(C)O
18332,Fruity,Citrus,543-39-5,Myrcenol,CC(C)(CCCC(=C)C=C)O
18333,Fruity,Citrus,544-63-8,Myristic acid,CCCCCCCCCCCCCC(=O)O
18334,Fruity,Citrus,562-74-3,Terpinen-4-ol,CC1=CCC(CC1)(C(C)C)O
18335,Fruity,Citrus,586-62-9,Terpinolene,CC1=CCC(=C(C)C)CC1
18336,Fruity,Citrus,589-98-0,3-Octanol,CCCCCC(CC)O
18337,Fruity,Citrus,591-47-9,4-Methylcyclohexene,CC1CCC=CC1
18338,Fruity,Citrus,591-48-0,3-Methylcyclohexene,CC1CCCC=C1
18339,Fruity,Citrus,591-49-1,1-Methylcyclohexene,CC1=CCCCC1
18340,Fruity,Citrus,617-50-5,Isopropyl isobutyrate,CC(C)C(=O)OC(C)C
18341,Fruity,Citrus,141-05-9,"2-Butenedioic acid (2E)-, 1,4-diethyl ester",CCOC(=O)/C=C/C(=O)OCC
18342,Fruity,Citrus,628-99-9,2-Nonanol,CCCCCCCC(C)O
18343,Fruity,Citrus,629-40-3,Octanedinitrile,C(CCCC#N)CCC#N
